city, confirmed cases, heat label
Long Beach, 5, 2
Pasadena, 2, 1
Alhambra, 1, 1
Altadena, 1, 1
Arcadia, 1, 1
Baldwin Hills, 1, 1
Beverly Hills, 1, 1
Boyle Heights, 5, 2
Brentwood, 1, 1
Carson, 1, 1
Culver City, 2, 1
Diamond Bar, 2, 1
Eagle Rock, 1, 1
Encino, 5, 2
Gardena, 1, 1
Glendale, 3, 1
Granada Hills, 3, 1
Hollywood, 1, 1
Hollywood Hills, 2, 1
Inglewood, 1, 1
Koreatown, 1, 1
La Mirada, 3, 1
Lynwood, 1, 1
Manhattan Beach, 4, 1
Mar Vista, 1, 1
Melrose, 9, 2
Monterey Park, 1, 1
North Hollywood, 1, 1
Northridge, 1, 1
Reseda, 1, 1
San Dimas, 1, 1
San Pedro, 1, 1
Santa Clarita, 2, 1
Santa Monica, 1, 1
Sherman Oaks, 2, 1
Silverlake, 1, 1
South Pasadena, 1, 1
Tarzana, 5, 2
Torrance, 1, 1
Venice, 2, 1
West Adams, 1, 1
West Hills, 3, 1
West Hollywood, 8, 2
West Vernon, 1, 1
Westchester, 2, 1
Woodland Hills, 2, 1
