city, confirmed cases, heat label
Long Beach, 15, 3
Pasadena, 3, 1
Alhambra, 3, 1
Altadena, 3, 1
Arcadia, 2, 1
Athens, 1, 1
Baldwin Hills, 3, 1
Bellflower, 1, 1
Beverly Hills, 8, 2
Beverlywood, 6, 2
Boyle Heights, 5, 2
Brentwood, 23, 4
Burbank, 2, 1
Calabasas, 2, 1
Canoga Park, 1, 1
Carson, 4, 1
Castaic, 1, 1
Century City, 4, 1
Century Palms Cove, 1, 1
Cerritos, 2, 1
Covina, 1, 1
Crestview, 5, 2
Culver City, 4, 1
Del Rey, 2, 1
Diamond Bar, 2, 1
Downtown, 1, 1
Eagle Rock, 1, 1
East Hollywood, 1, 1
East Los Angeles, 2, 1
Echo Park, 1, 1
El Segundo, 1, 1
Encino, 10, 3
Gardena, 1, 1
Glendale, 6, 2
Glendora, 1, 1
Granada Hills, 4, 1
Hancock Park, 5, 2
Hawthorne, 2, 1
Hollywood, 12, 3
Hollywood Hills, 5, 2
Inglewood, 3, 1
Koreatown, 2, 1
La Canada Flintridge, 1, 1
La Mirada, 3, 1
La Verne, 2, 1
Lake Balboa, 1, 1
Lakewood, 1, 1
Lancaster, 4, 1
Lawndale, 1, 1
Lomita, 8, 2
Los Feliz, 1, 1
Lynwood, 2, 1
Manhattan Beach, 7, 2
Mar Vista, 5, 2
Melrose, 17, 3
Miracle Mile, 4, 1
Monterey Park, 3, 1
North Hollywood, 5, 2
Northridge, 1, 1
Pacific Palisades, 7, 2
Palms, 1, 1
Paramount, 1, 1
Park La Brea, 4, 1
Playa Vista, 2, 1
Rancho Palos Verdes, 1, 1
Redondo Beach, 4, 1
Reseda, 2, 1
San Dimas, 1, 1
San Fernando, 1, 1
San Pedro, 1, 1
Santa Clarita, 4, 1
Santa Monica, 7, 2
Santa Monica Mountains, 2, 1
Sherman Oaks, 7, 2
Silverlake, 3, 1
South El Monte, 1, 1
South Gate, 1, 1
South Pasadena, 3, 1
South Whittier, 1, 1
Stevenson Ranch, 1, 1
Studio City, 4, 1
Sun Valley, 1, 1
Sunland, 1, 1
Sylmar, 1, 1
Tarzana, 8, 2
Temple, 1, 1
Torrance, 3, 1
Tujunga, 1, 1
University Park, 1, 1
Valley Glen, 6, 2
Van Nuys, 2, 1
Venice, 7, 2
Vermont Knolls, 1, 1
Vermont Vista, 1, 1
Vernon Central, 1, 1
Walnut, 1, 1
West Adams, 1, 1
West Covina, 1, 1
West Hills, 4, 1
West Hollywood, 19, 3
West Los Angeles, 3, 1
West Vernon, 2, 1
Westchester, 3, 1
Westlake, 1, 1
Westwood, 5, 2
Whittier, 2, 1
Wilmington, 1, 1
Winnetka, 1, 1
Woodland Hills, 5, 2
