city, confirmed cases, heat label
Long Beach, 28, 4
Pasadena, 7, 2
Agoura Hills, 3, 1
Alhambra, 6, 2
Altadena, 5, 2
Arcadia, 4, 1
Arleta, 1, 1
Athens, 1, 1
Baldwin Hills, 3, 1
Bell Gardens, 3, 1
Bellflower, 7, 2
Beverly Hills, 13, 3
Beverlywood, 8, 2
Boyle Heights, 5, 2
Brentwood, 34, 5
Burbank, 3, 1
Calabasas, 4, 1
Canoga Park, 2, 1
Canyon Country, 1, 1
Carson, 9, 2
Castaic, 2, 1
Century City, 7, 2
Century Palms, 3, 1
Cerritos, 2, 1
Claremont, 1, 1
Cloverdale, 3, 1
Compton, 2, 1
Covina, 3, 1
Crenshaw District, 2, 1
Crestview, 7, 2
Culver City, 6, 2
Del Rey, 5, 2
Diamond Bar, 2, 1
Downey, 5, 2
Downtown, 6, 2
Duarte, 1, 1
Eagle Rock, 2, 1
East Hollywood, 1, 1
East Los Angeles, 3, 1
Echo Park, 4, 1
El Segundo, 2, 1
Encino, 13, 3
Exposition Park, 1, 1
Florence, 4, 1
Gardena, 1, 1
Glassell Park, 1, 1
Glendale, 12, 3
Glendora, 2, 1
Granada Hills, 7, 2
Hancock Park, 8, 2
Harbor Gateway, 2, 1
Harvard Heights, 1, 1
Hawthorne, 8, 2
Highland Park, 2, 1
Hollywood, 23, 4
Hollywood Hills, 8, 2
Hyde Park, 1, 1
Inglewood, 5, 2
Koreatown, 5, 2
La Canada Flintridge, 3, 1
La Mirada, 4, 1
La Verne, 2, 1
Lake Balboa, 2, 1
Lakewood, 4, 1
Lancaster, 13, 3
Lawndale, 1, 1
Lomita, 9, 2
Los Feliz, 3, 1
Lynwood, 3, 1
Manhattan Beach, 17, 3
Mar Vista, 6, 2
Melrose, 33, 5
Miracle Mile, 8, 2
Monterey Park, 4, 1
Mt. Washington, 2, 1
North Hollywood, 11, 3
Northridge, 2, 1
Norwalk, 2, 1
Pacific Palisades, 9, 2
Palmdale, 2, 1
Palms, 8, 2
Panorama City, 1, 1
Paramount, 3, 1
Park La Brea, 8, 2
Pico, 2, 1
Pico Rivera, 1, 1
Playa Vista, 5, 2
Pomona, 1, 1
Porter Ranch, 1, 1
Rancho Palos Verdes, 5, 2
Redondo Beach, 9, 2
Reseda, 5, 2
San Dimas, 1, 1
San Fernando, 3, 1
San Gabriel, 1, 1
San Pedro, 4, 1
Santa Clarita, 10, 3
Santa Monica, 18, 3
Santa Monica Mountains, 3, 1
Sherman Oaks, 12, 3
Silverlake, 6, 2
South El Monte, 3, 1
South Gate, 2, 1
South Park, 1, 1
South Pasadena, 3, 1
South Whittier, 3, 1
Stevenson Ranch, 2, 1
Studio City, 7, 2
Sun Valley, 2, 1
Sunland, 1, 1
Sylmar, 1, 1
Tarzana, 9, 2
Temple, 3, 1
Torrance, 9, 2
Tujunga, 1, 1
University Park, 4, 1
Valinda, 1, 1
Valley Glen, 11, 3
Van Nuys, 4, 1
Venice, 9, 2
Vermont Knolls, 1, 1
Vermont Vista, 3, 1
Vernon Central, 1, 1
Walnut, 1, 1
Watts, 1, 1
West Adams, 4, 1
West Covina, 2, 1
West Hills, 4, 1
West Hollywood, 31, 5
West Los Angeles, 4, 1
West Vernon, 5, 2
Westchester, 5, 2
Westlake, 1, 1
Westwood, 9, 2
Whittier, 3, 1
Wholesale District, 4, 1
Willowbrook, 1, 1
Wilmington, 4, 1
Wilshire Center, 2, 1
Winnetka, 3, 1
Woodland Hills, 11, 3
